"Deep muscle of arm named for point of attachment. Anatomical guide for axillary artery, located behind its medial border. Adducts and flexes at glenohumeral. Origin: Coracoid process. Insert: Middle 1/3 of medial aspect of humerus","Coracobrachialis","coracobrachialias.png"
"Deep muscle of arm. Flexes forearm at elbow. Origin: Anterior aspect of distal half of humerus. Insert: Coronoid process and tuberosity of ulna","Brachialis","brachialis.png"
"Three heads. Long is more medial, lateral is lateral and superficial, medial is deep to lateral. Extends forearm at elbow. Origins: Long- Infraglenoid tubercle of scapula, Lateral+Medial- Posterior surface of humerus. Insert: Long+Lateral: Olecranon of Ulna and adjacent antebrachial fascia","Triceps Brachii","tricepsbrachii.png"
"Lateral portion of forearm. Flexes forearm at elbow. Origin: Supracondylar ridge of humerus. Insert: Lateral aspect of distal part of radius","Brachioradialis","brachioradialis.png"
"Pronates forearm at radiohumeral joint. Origin: Medial supracondylar ridge of humerus via common flexor tendon, medial aspect of coronoid process of ulna. Insert: Middle 1/3 of anterolateral aspect of radius","Pronator Teres","pronatorteres.png"
"Flexes hand at radiocarpal joint, abducts hand (radial deviation). Origin: Medial epicondyle of humerus via common flexor tendon. Insert: Carpals","Flexor Carpi Radialis","flexorcarpiradial.png"
"Missing in 10% of population. Flexes hand at radiocarpal joint. Origin: Epicondyle of humerus via common flexor tendon. Insert: Palmer aponeurosis","Palmaris Longis","palmarislongis.png"
"Flexes hand at radiocarpal joint, adducts hand (ulnar deviation). Origin: Medial epicondyle of humerus via common flexor tendon, proximal 2/3 of body of ulna, olecranon process of ulna. Insert: Carpals","Flexor Carpi Ulnaris","flexorcarpiulnaris.png"
"Flexes digits except thumb. Origin: Medial epicondyle of humerus via common flexor tendon, ulna, proximal half of radius. Insert: Palmar aspects of bodies of middle phalanges except thumb","Flexor Digitorum Superficialis","flexordigisuper.png"
"Flexes thumb. Origin: Anterior surface of radius and adjacent interosseus membrance. Insertion: Palmar aspects of the base of distal phalanx of thumb","Flexor Pollicis Longus","flexorpaullong.png"
"Deeply flexes digits except thumb. Origin: Ulna. Insertion: Palmar aspects of bodies of distal phalanges except thumb","Flexor digitorum profundus","flexordigiprofund.png"
"Pronates forearm as radioulnar joints. Origin: Distal 1/4 of ulna. Insert: Distal 1/4 of radius","Pronator Quadratus","pronatorquad.png"
"Makes up the bulk of buttocks. Extends thigh at hip, laterally rotates thigh at hip, abducts thigh at hip. Origin: Os coxae, sacrum & coccyx, pelvic ligaments. Insert: Femur, It Band","Gluteus Maximus","glutes.png"
"4 muscles, extend leg at knee joint","Quadriceps",""
"Strap-like muscle running obliquely across thigh at inner side of knee area. Flexes and medially rotates leg at knee","Sartorius",""
"Important location in inner thigh, contains femoral nerve artery, femoral vein and great saphenous vein","Femoral Triangle","femtriangle.png"
"Superior border of Femoral Triangle","Inguinal Ligament",""
"Medial border of Femoral Triangle","Adductor Longus Muscle",""
"Lateral border of Femoral Triangle","Sartorius Muscle",""
"Floor of Femoral Triangle","Iliopsoas & Pectineus",""
